station,valid,fx_valid,raw,is_tempo,fx_valid_end,sknt,drct,gust,visibility,presentwx,skyc,skyl,ws_level,ws_drct,ws_sknt,product_id,ftype
KACY,2026-01-18 23:23,2026-01-18 23:23,1900/1924 33010KT 2SM -SN BR OVC005,False,,10.0,330.0,0.0,2.0,"['-SN', 'BR']",['OVC'],[500],,,,202601182323-KPHI-FTUS41-TAFACY,Observation
KACY,2026-01-18 23:23,2026-01-19 03:00,FM190300 33012KT 4SM BR OVC015,False,,12.0,330.0,0.0,4.0,['BR'],['OVC'],[1500],,,,202601182323-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 23:23,2026-01-19 05:00,FM190500 30010KT P6SM BKN040,False,,10.0,300.0,0.0,6.01,[],['BKN'],[4000],,,,202601182323-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 23:23,2026-01-19 12:00,FM191200 27008KT P6SM SCT120,False,,8.0,270.0,0.0,6.01,[],['SCT'],[12000],,,,202601182323-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-18 23:23,2026-01-19 15:00,FM191500 24012G22KT P6SM BKN200,False,,12.0,240.0,22.0,6.01,[],['BKN'],[20000],,,,202601182323-KPHI-FTUS41-TAFACY,Forecast
KACY,2026-01-19 02:05,2026-01-19 02:05,1902/1924 33014KT P6SM BKN010 OVC040,False,,14.0,330.0,0.0,6.01,[],"['BKN', 'OVC']","[1000, 4000]",,,,202601190205-KPHI-FTUS41-TAFACY-AAA,Observation
KACY,2026-01-19 02:05,2026-01-19 03:30,FM190330 31010KT P6SM BKN040,False,,10.0,310.0,0.0,6.01,[],['BKN'],[4000],,,,202601190205-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-19 02:05,2026-01-19 12:00,FM191200 27008KT P6SM SCT120,False,,8.0,270.0,0.0,6.01,[],['SCT'],[12000],,,,202601190205-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-19 02:05,2026-01-19 15:00,FM191500 24012G22KT P6SM BKN200,False,,12.0,240.0,22.0,6.01,[],['BKN'],[20000],,,,202601190205-KPHI-FTUS41-TAFACY-AAA,Forecast
KACY,2026-01-19 03:01,2026-01-19 03:01,1903/1924 32014KT P6SM OVC008,False,,14.0,320.0,0.0,6.01,[],['OVC'],[800],,,,202601190301-KPHI-FTUS41-TAFACY-AAB,Observation
