station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth,anomaly,anomaly_score,is_anomaly,PC1,PC2
OOA,2026-01-23 18:35,-1.0,-21.0,37.1,10.0,10.0,0.0,30.79,M,10.0,14.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-18.41,KOOA 231835Z AUTO 01010G14KT 10SM CLR M18/M29 A3079 RMK AO2 T11831294,M,-1,-0.591724080775975,1,-4.1102443665015,-1.1854759058686322
OOA,2026-01-07 03:55,32.0,32.0,100.0,0.0,0.0,0.0,29.85,M,0.25,M,VV ,M,M,M,0.00,M,M,M,M,M,M,M,M,M,M,32.0,KOOA 070355Z AUTO 00000KT M1/4SM VV000 00/00 A2985 RMK AO2 T00000000,M,-1,-0.5915848050119429,1,3.1283050110168946,-3.3609661688285026
OOA,2026-01-07 05:55,30.7,30.6,99.59,0.0,0.0,0.0,29.84,M,0.5,M,VV ,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,30.7,KOOA 070555Z AUTO 00000KT 1/2SM VV005 M01/M01 A2984 RMK AO2 T10071008 10027 21011 400581011,M,-1,-0.5915023219723424,1,3.0144972740841385,-3.3496400275648157
OOA,2026-01-09 03:35,44.0,42.4,94.05,280.0,21.0,0.0,29.38,M,3.0,25.00,M,M,M,M,M,M,M,M,M,M,M,M,M,M,M,34.86,KOOA 090335Z AUTO 28021G25KT 3SM 07/06 A2938 RMK AO2 SKY OBSCURED T00660058,M,-1,-0.591239761921127,1,4.058396225971669,1.4375210481305687
OOA,2026-01-07 10:55,30.0,30.0,100.0,0.0,0.0,0.0,29.83,M,1.25,M,VV ,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,30.0,KOOA 071055Z AUTO 00000KT 1 1/4SM VV007 M01/M01 A2983 RMK AO2 T10111012,M,-1,-0.5908459099595974,1,2.912825772400089,-3.2928179721470348
OOA,2026-01-07 04:15,31.6,31.6,100.0,0.0,0.0,0.0,29.85,M,0.5,M,VV ,M,M,M,500.00,M,M,M,M,M,M,M,M,M,M,31.6,KOOA 070415Z AUTO 00000KT 1/2SM VV005 00/00 A2985 RMK AO2 T10021002,M,-1,-0.5905185976127306,1,3.0727464381334886,-3.3445474150762324
OOA,2026-01-24 20:35,5.4,-1.5,72.56,80.0,5.0,0.0,30.51,M,1.5,M,VV ,M,M,M,700.00,M,M,M,M,M,M,M,M,M,M,-5.2,KOOA 242035Z AUTO 08005KT 1 1/2SM VV007 M15/M19 A3051 RMK AO2 T11481186,M,-1,-0.5904095321688662,1,-0.9328893373749505,-2.597844353130936
OOA,2026-01-23 21:15,0.7,-19.7,36.65,10.0,10.0,0.0,30.76,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-16.28,KOOA 232115Z AUTO 01010KT 10SM CLR M17/M29 A3076 RMK AO2 T11741287,M,-1,-0.589644972389125,1,-3.9665910551879047,-1.12907800209177
OOA,2026-01-23 16:35,-5.4,-23.0,41.21,350.0,14.0,0.0,30.83,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-27.05,KOOA 231635Z AUTO 35014KT 10SM CLR M21/M30 A3083 RMK AO2 T12081305,M,-1,-0.5895592032892998,1,-4.459104073188012,0.8882098231172616
OOA,2026-01-09 08:35,39.6,39.4,99.22,300.0,21.0,0.01,29.68,M,4.0,28.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,28.99,KOOA 090835Z AUTO 30021G28KT 4SM CLR 04/04 A2968 RMK AO2 P0001 T00420041,M,-1,-0.5895562366780066,1,3.418109311669344,1.2554619585480942
OOA,2026-01-23 16:55,-5.0,-22.0,42.61,10.0,13.0,0.0,30.83,M,10.0,16.00,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-25.83,KOOA 231655Z AUTO 01013G16KT 10SM CLR M21/M30 A3083 RMK AO2 T12061300,M,-1,-0.5895137468430804,1,-4.2264198666965385,-1.0270607011968134
OOA,2026-01-23 16:15,-6.0,-24.0,40.24,350.0,12.0,0.0,30.83,M,10.0,M,CLR,M,M,M,M,M,M,M,M,M,M,M,M,M,M,-26.36,KOOA 231615Z AUTO 35012KT 10SM CLR M21/M31 A3083 RMK AO2 T12121311,M,-1,-0.5894797657050823,1,-4.531121566979388,0.6581601246903707
